"Puchase Date","Order Number",Status,"Coupon Code",Country,"Grand Total incl Tax","Shipping Amount",Tax,"Cash on Delivery Charges","Store Credit Used","Total Refunded",FINAL_TOTAL,TOTAL_ORDERED_QTY,TOTAL_RETURN_QTY,Type,Commission,Category,COMPANY,"COUPON CODE",Customer_Type
"2025-08-27 01:12:22",PO-AE-250827-14327,delivered,ALC4,"United Arab Emirates",27.40,2.51,1.18,0.00,0.00,0.00,23.70,2.0000,0.0000,CPS,.1,Affliate,DigiZag,ALC4,New
"2025-08-27 10:20:44",PO-KW-250827-14402,delivered,X16,Kuwait,26.92,1.75,0.00,0.00,0.00,0.00,25.17,3.0000,0.0000,CPS,0.1,Affliate,DigiZag,X16,Existing
"2025-08-27 11:50:51",PO-BH-250827-14450,delivered,ALC4,Bahrain,100.95,2.46,8.96,0.00,0.00,0.00,89.53,13.0000,0.0000,CPS,.1,Affliate,DigiZag,ALC4,Existing
"2025-08-27 14:50:06",PO-KW-250827-14577,delivered,cK22,Kuwait,18.81,0.00,0.00,0.00,0.00,0.00,18.81,1.0000,0.0000,CPS,.1,Affliate,DigiZag,cK22,Existing
"2025-08-27 15:04:07",PO-SA-250827-14594,delivered,W112,"Saudi Arabia",78.82,2.46,9.96,0.00,0.00,27.49,42.49,7.0000,1.0000,CPS,0.1,Affliate,DigiZag,W112,Existing
"2025-08-27 15:52:04",PO-SA-250827-14633,partially_delivered,X16,"Saudi Arabia",200.96,2.46,25.89,0.00,0.00,0.00,172.61,10.0000,0.0000,CPS,0.1,Affliate,DigiZag,X16,Existing
"2025-08-27 18:33:42",PO-SA-250827-14734,delivered,OTC,"Saudi Arabia",10.96,2.46,1.11,0.00,0.00,0.00,7.39,2.0000,0.0000,CPS,.1,Affliate,DigiZag,OTC,New
"2025-08-27 21:36:19",PO-SA-250827-14859,delivered,JHN10,"Saudi Arabia",31.65,2.46,3.81,0.00,0.00,0.00,25.38,2.0000,0.0000,CPS,.1,Affliate,DigiZag,JHN10,New
"2025-08-27 23:04:36",PO-KW-250827-14907,delivered,CK22,Kuwait,28.80,1.75,0.00,0.00,30.10,0.00,52.65,6.0000,1.0000,CPS,.1,Affliate,DigiZag,CK22,Existing
"2025-08-27 23:17:20",PO-AE-250827-14918,delivered,Jhn10,"United Arab Emirates",26.27,2.51,1.13,0.00,0.00,0.00,22.63,3.0000,0.0000,CPS,.1,Affliate,DigiZag,Jhn10,Existing
"2025-08-28 02:00:29",PO-KW-250828-15016,delivered,ALC4,Kuwait,21.49,1.75,0.00,0.00,89.16,0.00,108.90,6.0000,0.0000,CPS,.1,Affliate,DigiZag,ALC4,Existing
"2025-08-28 04:51:56",PO-KW-250828-15064,delivered,ALC4,Kuwait,48.10,1.75,0.00,0.00,71.46,0.00,95.76,7.0000,1.0000,CPS,.1,Affliate,DigiZag,ALC4,Existing
"2025-08-28 07:28:56",PO-SA-250828-15088,delivered,WAF,"Saudi Arabia",35.71,2.46,4.34,0.00,0.00,0.00,28.91,2.0000,0.0000,CPS,.1,Affliate,DigiZag,WAF,Existing
"2025-08-28 10:02:05",PO-AE-250828-15129,delivered,ALC4,"United Arab Emirates",32.30,2.51,1.42,0.00,0.00,0.00,28.37,2.0000,0.0000,CPS,.1,Affliate,DigiZag,ALC4,New
"2025-08-28 10:17:50",PO-SA-250828-15135,delivered,ALC4,"Saudi Arabia",28.69,2.46,3.42,0.00,0.00,0.00,22.81,3.0000,0.0000,CPS,.1,Affliate,DigiZag,ALC4,Existing
"2025-08-28 12:35:51",PO-KW-250828-15203,delivered,W11,Kuwait,28.63,1.75,0.00,0.00,0.00,0.00,26.88,1.0000,0.0000,CPS,0.1,Affliate,DigiZag,W11,Existing
"2025-08-28 13:47:13",PO-SA-250828-15239,complete,CK22,"Saudi Arabia",30.17,2.46,3.61,0.00,0.00,0.00,24.09,1.0000,0.0000,CPS,.1,Affliate,DigiZag,CK22,Existing
"2025-08-28 14:34:33",PO-SA-250828-15271,complete,W126,"Saudi Arabia",15.44,2.46,1.69,0.00,0.00,0.00,11.29,1.0000,0.0000,CPS,0.1,Affliate,DigiZag,W126,Existing
"2025-08-28 15:58:33",PO-AE-250828-15315,outfordelivery,CK22,"United Arab Emirates",73.03,2.51,3.36,0.00,0.00,0.00,67.16,2.0000,0.0000,CPS,.1,Affliate,DigiZag,CK22,Existing
"2025-08-28 16:47:13",PO-SA-250828-15337,complete,Waf,"Saudi Arabia",85.59,2.46,10.84,0.00,0.00,0.00,72.28,8.0000,0.0000,CPS,.1,Affliate,DigiZag,Waf,Existing
"2025-08-28 16:50:02",PO-SA-250828-15343,complete,WAF,"Saudi Arabia",36.45,2.46,4.43,0.00,0.00,0.00,29.56,2.0000,0.0000,CPS,.1,Affliate,DigiZag,WAF,New
"2025-08-28 20:56:22",PO-AE-250828-15502,complete,CK22,"United Arab Emirates",86.98,2.51,4.02,0.00,0.00,0.00,80.45,3.0000,0.0000,CPS,.1,Affliate,DigiZag,CK22,New
"2025-08-28 21:10:55",PO-SA-250828-15525,delivered,W126,"Saudi Arabia",50.95,2.46,6.32,0.00,0.00,0.00,42.16,3.0000,0.0000,CPS,0.1,Affliate,DigiZag,W126,Existing
"2025-08-29 00:33:40",PO-BH-250829-15698,delivered,Q20,Bahrain,43.24,2.46,3.71,0.00,0.00,0.00,37.07,3.0000,0.0000,CPS,.1,Affliate,DigiZag,Q20,Existing
"2025-08-29 00:33:58",PO-KW-250829-15699,delivered,CK22,Kuwait,48.55,1.75,0.00,0.00,0.00,0.00,46.80,1.0000,0.0000,CPS,.1,Affliate,DigiZag,CK22,Existing
"2025-08-29 02:17:09",PO-KW-250829-15756,partially_shipped,CK22,Kuwait,71.05,1.75,0.00,0.00,0.00,0.00,69.30,4.0000,0.0000,CPS,.1,Affliate,DigiZag,CK22,Existing
"2025-08-29 04:26:40",PO-SA-250829-15808,complete,ALC4,"Saudi Arabia",16.50,2.46,1.83,0.00,0.00,0.00,12.21,3.0000,0.0000,CPS,.1,Affliate,DigiZag,ALC4,New
"2025-08-29 09:23:28",PO-OM-250829-15887,complete,ALC4,Oman,20.40,2.40,0.86,0.00,0.00,0.00,17.14,2.0000,0.0000,CPS,.1,Affliate,DigiZag,ALC4,Existing
"2025-08-29 12:19:34",PO-KW-250829-15974,complete,X16,Kuwait,13.62,1.75,0.00,0.00,0.00,0.00,11.87,1.0000,0.0000,CPS,0.1,Affliate,DigiZag,X16,New
"2025-08-29 14:06:13",PO-KW-250829-16048,delivered,W27,Kuwait,35.77,1.75,0.00,0.00,0.00,0.00,34.02,2.0000,0.0000,CPS,.1,Affliate,DigiZag,W27,Existing
"2025-08-29 15:59:16",PO-SA-250829-16139,complete,W126,"Saudi Arabia",46.75,2.46,5.78,0.00,0.00,0.00,38.51,1.0000,0.0000,CPS,0.1,Affliate,DigiZag,W126,New
"2025-08-29 19:48:05",PO-KW-250829-16310,delivered,W27,Kuwait,140.35,1.75,0.00,0.00,0.00,0.00,138.60,11.0000,0.0000,CPS,.1,Affliate,DigiZag,W27,Existing
"2025-08-29 20:05:54",PO-SA-250829-16328,complete,NNN,"Saudi Arabia",94.83,2.46,12.05,0.00,0.00,0.00,80.32,5.0000,0.0000,CPS,.1,Affliate,DigiZag,NNN,Existing
"2025-08-29 21:07:44",PO-KW-250829-16389,delivered,ALC4,Kuwait,37.57,1.75,0.00,0.00,0.00,0.00,35.82,2.0000,0.0000,CPS,.1,Affliate,DigiZag,ALC4,New
"2025-08-29 22:44:25",PO-SA-250829-16459,partially_shipped,W126,"Saudi Arabia",86.45,2.46,10.96,0.00,0.00,0.00,73.03,14.0000,0.0000,CPS,0.1,Affliate,DigiZag,W126,New
"2025-08-29 22:47:45",PO-KW-250829-16463,partially_delivered,W199,Kuwait,58.20,1.75,0.00,0.00,0.00,0.00,56.45,6.0000,0.0000,CPS,0.1,Affliate,DigiZag,W199,Existing
"2025-08-29 23:00:51",PO-QA-250829-16473,processing,W112,Qatar,30.47,2.54,0.00,0.00,0.00,0.00,27.93,2.0000,0.0000,CPS,0.1,Affliate,DigiZag,W112,Existing
"2025-08-30 00:08:39",PO-AE-250830-16517,processing,CK22,"United Arab Emirates",136.38,2.51,6.37,0.00,0.00,0.00,127.50,9.0000,0.0000,CPS,.1,Affliate,DigiZag,CK22,Existing
"2025-08-30 01:53:51",PO-SA-250830-16576,processing,ALC4,"Saudi Arabia",16.52,2.46,1.64,1.50,0.00,0.00,10.92,1.0000,0.0000,CPS,.1,Affliate,DigiZag,ALC4,New
"2025-08-30 07:24:05",PO-SA-250830-16655,complete,Waf,"Saudi Arabia",35.71,2.46,4.34,0.00,0.00,0.00,28.91,5.0000,0.0000,CPS,.1,Affliate,DigiZag,Waf,Existing
"2025-08-30 10:59:32",PO-KW-250830-16703,delivered,W112,Kuwait,73.83,2.50,0.00,0.00,0.00,0.00,71.33,3.0000,0.0000,CPS,0.1,Affliate,DigiZag,W112,Existing
"2025-08-30 12:44:17",PO-KW-250830-16731,delivered,Ck22,Kuwait,37.62,0.00,0.00,0.00,0.00,0.00,37.62,2.0000,0.0000,CPS,.1,Affliate,DigiZag,Ck22,Existing
"2025-08-30 14:55:04",PO-KW-250830-16840,complete,CK22,Kuwait,30.55,1.75,0.00,0.00,0.00,0.00,28.80,2.0000,0.0000,CPS,.1,Affliate,DigiZag,CK22,New
"2025-08-30 15:06:04",PO-SA-250830-16851,complete,CK22,"Saudi Arabia",34.24,2.46,4.14,0.00,0.00,0.00,27.63,1.0000,0.0000,CPS,.1,Affliate,DigiZag,CK22,New
"2025-08-30 16:11:37",PO-SA-250830-16900,processing,CK22,"Saudi Arabia",35.69,2.46,10.41,0.00,46.58,0.00,69.39,5.0000,0.0000,CPS,.1,Affliate,DigiZag,CK22,Existing
"2025-08-30 17:08:45",PO-AE-250830-16942,complete,Ck22,"United Arab Emirates",24.39,2.51,1.04,0.00,0.00,0.00,20.83,1.0000,0.0000,CPS,.1,Affliate,DigiZag,Ck22,Existing
"2025-08-30 17:22:31",PO-AE-250830-16957,complete,NNN,"United Arab Emirates",38.34,2.51,1.71,0.00,0.00,0.00,34.12,3.0000,0.0000,CPS,.1,Affliate,DigiZag,NNN,Existing
"2025-08-30 17:52:04",PO-SA-250830-16989,complete,"CK22 ","Saudi Arabia",34.24,2.46,4.14,0.00,0.00,0.00,27.63,1.0000,0.0000,CPS,.1,Affliate,DigiZag,"CK22 ",Existing
"2025-08-30 20:05:16",PO-KW-250830-17083,complete,ALC4,Kuwait,13.00,1.75,0.00,0.00,0.00,0.00,11.25,1.0000,0.0000,CPS,.1,Affliate,DigiZag,ALC4,Existing
"2025-08-30 20:45:09",PO-KW-250830-17095,complete,W112,Kuwait,13.37,1.75,0.00,0.00,0.00,0.00,11.62,1.0000,0.0000,CPS,0.1,Affliate,DigiZag,W112,Existing
