"Period","Coupon Code","Number of Uses","Sales Total Amount (USD)","Delivered Orders","Delivered Orders Revenue (USD)","Delivered First Orders","Delivered First Orders Revenue (USD)","Delivered Retention Orders","Delivered Retention Orders Revenue (USD)"
"04 Oct 2025","fxn","6","701.75","0","0.00","0","0.00","0","0.00"
"04 Oct 2025","fuj","5","655.82","0","0.00","0","0.00","0","0.00"
"04 Oct 2025","ost","4","376.80","0","0.00","0","0.00","0","0.00"
"04 Oct 2025","df5","2","555.90","0","0.00","0","0.00","0","0.00"
"04 Oct 2025","dd22","1","325.70","0","0.00","0","0.00","0","0.00"
"04 Oct 2025","4dg","1","91.35","0","0.00","0","0.00","0","0.00"
"04 Oct 2025","cnl","1","61.15","0","0.00","0","0.00","0","0.00"
"04 Oct 2025","dd7","1","34.89","0","0.00","0","0.00","0","0.00"
"03 Oct 2025","fxn","7","738.91","0","0.00","0","0.00","0","0.00"
"03 Oct 2025","fuj","3","219.95","0","0.00","0","0.00","0","0.00"
"03 Oct 2025","ost","1","90.44","0","0.00","0","0.00","0","0.00"
"03 Oct 2025","df1","1","223.31","0","0.00","0","0.00","0","0.00"
"02 Oct 2025","fxn","7","784.49","0","0.00","0","0.00","0","0.00"
"02 Oct 2025","dd44","2","142.78","0","0.00","0","0.00","0","0.00"
"02 Oct 2025","fuj","2","276.03","0","0.00","0","0.00","0","0.00"
"02 Oct 2025","piv","1","70.61","0","0.00","0","0.00","0","0.00"
"02 Oct 2025","df2","1","118.91","0","0.00","0","0.00","0","0.00"
"02 Oct 2025","df5","1","82.09","0","0.00","0","0.00","0","0.00"
"02 Oct 2025","ds8","1","149.09","0","0.00","0","0.00","0","0.00"
"02 Oct 2025","ost","1","22.42","0","0.00","0","0.00","0","0.00"
"02 Oct 2025","tnmw","1","97.82","0","0.00","0","0.00","0","0.00"
"02 Oct 2025","zg32","1","150.35","0","0.00","0","0.00","0","0.00"
"01 Oct 2025","fxn","10","625.98","0","0.00","0","0.00","0","0.00"
"01 Oct 2025","piv","3","397.73","1","150.23","1","150.23","0","0.00"
"01 Oct 2025","fuj","3","176.66","1","49.65","1","49.65","0","0.00"
"01 Oct 2025","dd22","2","229.00","0","0.00","0","0.00","0","0.00"
"01 Oct 2025","ost","2","223.36","0","0.00","0","0.00","0","0.00"
"01 Oct 2025","df5","1","36.08","0","0.00","0","0.00","0","0.00"
"01 Oct 2025","cnl","1","92.31","0","0.00","0","0.00","0","0.00"
"01 Oct 2025","dd44","1","103.45","0","0.00","0","0.00","0","0.00"
"30 Sep 2025","fxn","7","659.26","2","189.47","2","189.47","0","0.00"
"30 Sep 2025","piv","4","297.93","1","52.64","1","52.64","0","0.00"
"30 Sep 2025","tnmw","2","299.52","0","0.00","0","0.00","0","0.00"
"30 Sep 2025","fuj","2","184.40","0","0.00","0","0.00","0","0.00"
"30 Sep 2025","a60","1","57.22","0","0.00","0","0.00","0","0.00"
"30 Sep 2025","df5","1","78.70","0","0.00","0","0.00","0","0.00"
"30 Sep 2025","dd22","1","106.88","0","0.00","0","0.00","0","0.00"
"30 Sep 2025","ds8","1","72.96","0","0.00","0","0.00","0","0.00"
"29 Sep 2025","fxn","10","916.37","3","224.17","3","224.17","0","0.00"
"29 Sep 2025","df5","2","375.95","0","0.00","0","0.00","0","0.00"
"29 Sep 2025","piv","1","99.68","1","99.68","1","99.68","0","0.00"
"29 Sep 2025","dd44","1","637.17","0","0.00","0","0.00","0","0.00"
"29 Sep 2025","tnmw","1","46.04","0","0.00","0","0.00","0","0.00"
"29 Sep 2025","7a03","1","108.70","1","108.70","1","108.70","0","0.00"
"28 Sep 2025","fxn","5","724.44","4","629.58","4","629.58","0","0.00"
"28 Sep 2025","piv","3","336.01","0","0.00","0","0.00","0","0.00"
"28 Sep 2025","ost","2","101.33","1","32.25","1","32.25","0","0.00"
"28 Sep 2025","tnmw","1","185.07","0","0.00","0","0.00","0","0.00"
"28 Sep 2025","cnl","1","221.00","0","0.00","0","0.00","0","0.00"
"28 Sep 2025","df1","1","329.84","0","0.00","0","0.00","0","0.00"
"28 Sep 2025","df5","1","65.44","1","65.44","1","65.44","0","0.00"
"27 Sep 2025","fxn","2","169.30","1","92.31","1","92.31","0","0.00"
"27 Sep 2025","cnl","2","169.73","0","0.00","0","0.00","0","0.00"
"27 Sep 2025","dd22","2","388.40","1","60.36","1","60.36","0","0.00"
"27 Sep 2025","ost","2","328.42","2","328.42","2","328.42","0","0.00"
"27 Sep 2025","tnmw","2","83.77","0","0.00","0","0.00","0","0.00"
"27 Sep 2025","df5","1","117.70","0","0.00","0","0.00","0","0.00"
"27 Sep 2025","piv","1","56.55","1","56.55","1","56.55","0","0.00"
"26 Sep 2025","fxn","9","920.57","7","609.24","7","609.24","0","0.00"
"26 Sep 2025","df5","2","605.20","0","0.00","0","0.00","0","0.00"
"26 Sep 2025","fuj","2","135.72","0","0.00","0","0.00","0","0.00"
"26 Sep 2025","tnmw","1","271.86","1","271.86","1","271.86","0","0.00"
"26 Sep 2025","dd77","1","71.87","1","71.87","1","71.87","0","0.00"
"26 Sep 2025","piv","1","52.07","1","52.07","1","52.07","0","0.00"
"25 Sep 2025","fxn","5","511.30","4","485.97","4","485.97","0","0.00"
"25 Sep 2025","fuj","2","388.58","1","94.86","1","94.86","0","0.00"
"25 Sep 2025","df5","1","186.49","1","186.49","1","186.49","0","0.00"
"24 Sep 2025","fxn","4","307.04","3","218.73","3","218.73","0","0.00"
"24 Sep 2025","df5","3","362.99","2","135.41","2","135.41","0","0.00"
"24 Sep 2025","tnmw","1","68.22","1","68.22","1","68.22","0","0.00"
"23 Sep 2025","fxn","5","438.64","5","438.64","5","438.64","0","0.00"
"23 Sep 2025","df5","4","401.19","4","401.19","4","401.19","0","0.00"
"23 Sep 2025","bna","1","15.42","1","15.42","1","15.42","0","0.00"
"23 Sep 2025","fuj","1","29.05","1","29.05","1","29.05","0","0.00"
"22 Sep 2025","fxn","8","1109.46","6","494.94","6","494.94","0","0.00"
"22 Sep 2025","ost","2","192.11","2","192.11","2","192.11","0","0.00"
"22 Sep 2025","df5","2","150.87","1","28.60","1","28.60","0","0.00"
"22 Sep 2025","urpay1","1","84.83","1","84.83","1","84.83","0","0.00"
"22 Sep 2025","cr5","1","40.38","1","40.38","1","40.38","0","0.00"
"22 Sep 2025","dd44","1","93.13","1","93.13","1","93.13","0","0.00"
"22 Sep 2025","fuj","1","78.36","1","78.36","1","78.36","0","0.00"
"21 Sep 2025","fxn","5","377.43","4","269.00","4","269.00","0","0.00"
"21 Sep 2025","ost","2","152.31","1","65.87","1","65.87","0","0.00"
"21 Sep 2025","ccz2","1","29.22","1","29.22","1","29.22","0","0.00"
"21 Sep 2025","dd44","1","133.57","1","133.57","1","133.57","0","0.00"
"20 Sep 2025","fxn","6","658.58","6","658.58","6","658.58","0","0.00"
"20 Sep 2025","fbp","1","51.20","1","51.20","1","51.20","0","0.00"
"20 Sep 2025","dd44","1","50.23","1","50.23","1","50.23","0","0.00"
"20 Sep 2025","zg32","1","33.45","1","33.45","1","33.45","0","0.00"
"19 Sep 2025","fxn","8","1211.62","8","1211.62","8","1211.62","0","0.00"
"19 Sep 2025","df5","3","237.40","2","176.56","2","176.56","0","0.00"
"19 Sep 2025","fuj","2","362.31","2","362.31","2","362.31","0","0.00"
