conversion_id,transaction_id,date,click_date,delta_hours,offer_id,offer_name,offer_url_id,creative_id,event_id,event_name,revenue,revenue_type,source_id,sub1,sub2,sub3,sub4,sub5,session_user_ip,conversion_user_ip,http_user_agent,country,country_code,region,city,dma,carrier,platform,os_version,device_type,brand,browser,language,isp,referer,coupon_code,app_id,idfa,idfa_md5,idfa_sha1,google_ad_id,google_ad_id_md5,google_ad_id_sha1,android_id,android_id_md5,android_id_sha1,currency_id,is_view_through,order_id,adv1,adv2,adv3,adv4,adv5,sale_amount,network_id
e09c75a5d3aa48e2aa2ca8f66e6df772,0b92c3a898b045ca992460633656ea40,2025-09-21 00:19:24,2025-09-21 10:00:56,-9.69,2,Eyewa Affiliates Program,0,0,0,Eyewa Order,4.59,CPS,,,,,,,54.255.57.147,54.255.57.147,python-requests/2.32.4,Singapore,SG,Central Singapore Community Development Council,Singapore,0,,Unknown,,PC,Unknown,,,amazon technologies inc.,,d39,,,,,,,,,,,USD,0,9000008990,3P,Kuwait,,,data_team_push,91.73,1221
85c9e9b36a7e4ad2be4171e518043fdf,38ff137f8b574813881696556de0f022,2025-09-21 00:29:25,2025-09-21 10:00:55,-9.53,2,Eyewa Affiliates Program,0,0,0,Eyewa Order,.59,CPS,,,,,,,54.255.57.147,54.255.57.147,python-requests/2.32.4,Singapore,SG,Central Singapore Community Development Council,Singapore,0,,Unknown,,PC,Unknown,,,amazon technologies inc.,,nw4,,,,,,,,,,,USD,0,6000957269,HB Frames,Saudi Arabia,,,data_team_push,11.76,1221
fed522555db44d9e9dca198fa1a88009,2c2883ba2180442f892f0c72bb8301a1,2025-09-21 00:29:55,2025-09-21 10:00:55,-9.52,2,Eyewa Affiliates Program,0,0,0,Eyewa Order,2.94,CPS,,,,,,,54.255.57.147,54.255.57.147,python-requests/2.32.4,Singapore,SG,Central Singapore Community Development Council,Singapore,0,,Unknown,,PC,Unknown,,,amazon technologies inc.,,nw4,,,,,,,,,,,USD,0,6000957271,HB Frames,Saudi Arabia,,,data_team_push,58.80,1221
1035af002c89441bbb282583975dddf0,f1d0dfce2cd849f68169c4c6e0d2f035,2025-09-21 02:07:36,2025-09-21 10:00:51,-7.89,2,Eyewa Affiliates Program,0,0,0,Eyewa Order,2.22,CPS,,,,,,,54.255.57.147,54.255.57.147,python-requests/2.32.4,Singapore,SG,Central Singapore Community Development Council,Singapore,0,,Unknown,,PC,Unknown,,,amazon technologies inc.,,d60,,,,,,,,,,,USD,0,6000957386,HB Frames,Saudi Arabia,,,data_team_push,44.40,1221
35ee3dd4543f4212afc49d7b16595072,3f409cf2345c42c7833791c3afbedc85,2025-09-21 02:25:55,2025-09-21 10:00:49,-7.58,2,Eyewa Affiliates Program,0,0,0,Eyewa Order,3.65,CPS,,,,,,,54.255.57.147,54.255.57.147,python-requests/2.32.4,Singapore,SG,Central Singapore Community Development Council,Singapore,0,,Unknown,,PC,Unknown,,,amazon technologies inc.,,nw4,,,,,,,,,,,USD,0,2000635838,3P,UAE,,,data_team_push,73.08,1221
79f47fb24fe64466b4e66d6f19815884,cf39aa7bade04b6f8e8bf3f48b8acaa1,2025-09-21 02:57:13,2025-09-21 10:00:47,-7.06,2,Eyewa Affiliates Program,0,0,0,Eyewa Order,1.78,CPS,,,,,,,54.255.57.147,54.255.57.147,python-requests/2.32.4,Singapore,SG,Central Singapore Community Development Council,Singapore,0,,Unknown,,PC,Unknown,,,amazon technologies inc.,,nw4,,,,,,,,,,,USD,0,6000957472,3P,Saudi Arabia,,,data_team_push,35.52,1221
b8df4074ab3b47b882ce7f059381efa6,afeb7cb11f4c49989525963b6c7bed8e,2025-09-21 03:08:11,2025-09-21 10:00:46,-6.88,2,Eyewa Affiliates Program,0,0,0,Eyewa Order,.83,CPS,,,,,,,54.255.57.147,54.255.57.147,python-requests/2.32.4,Singapore,SG,Central Singapore Community Development Council,Singapore,0,,Unknown,,PC,Unknown,,,amazon technologies inc.,,nw4,,,,,,,,,,,USD,0,6000957491,HB Frames,Saudi Arabia,,,data_team_push,16.56,1221
1672da5ea1414586b81542d5a97d1fe4,47e22736d5344eec913c81e546314202,2025-09-21 04:31:04,2025-09-21 10:00:40,-5.49,2,Eyewa Affiliates Program,0,0,0,Eyewa Order,1.38,CPS,,,,,,,54.255.57.147,54.255.57.147,python-requests/2.32.4,Singapore,SG,Central Singapore Community Development Council,Singapore,0,,Unknown,,PC,Unknown,,,amazon technologies inc.,,nw4,,,,,,,,,,,USD,0,6000957627,3P,Saudi Arabia,,,data_team_push,27.60,1221
ced22fa845fc457fac4d2a074b7b54d7,ebd2a6a0cf0c4472bb4d6a0cc9066693,2025-09-21 05:03:26,2025-09-21 10:00:37,-4.95,2,Eyewa Affiliates Program,0,0,0,Eyewa Order,1.44,CPS,,,,,,,54.255.57.147,54.255.57.147,python-requests/2.32.4,Singapore,SG,Central Singapore Community Development Council,Singapore,0,,Unknown,,PC,Unknown,,,amazon technologies inc.,,dg2,,,,,,,,,,,USD,0,6000957678,3P,Saudi Arabia,,,data_team_push,28.80,1221
e69bc21af3894753919ad854a5077f75,81ab44d7138d4570a5e77fb8b4296895,2025-09-21 06:19:50,2025-09-21 10:00:35,-3.68,2,Eyewa Affiliates Program,0,0,0,Eyewa Order,1.18,CPS,,,,,,,54.255.57.147,54.255.57.147,python-requests/2.32.4,Singapore,SG,Central Singapore Community Development Council,Singapore,0,,Unknown,,PC,Unknown,,,amazon technologies inc.,,nw4,,,,,,,,,,,USD,0,6000957778,HB Frames,Saudi Arabia,,,data_team_push,23.52,1221
