"Period","Coupon Code","Number of Uses","Sales Total Amount (USD)","Delivered Orders","Delivered Orders Revenue (USD)","Delivered First Orders","Delivered First Orders Revenue (USD)","Delivered Retention Orders","Delivered Retention Orders Revenue (USD)"
"31 Aug 2025","fxn","5","367.01","0","0.00","0","0.00","0","0.00"
"31 Aug 2025","fuj","1","60.83","0","0.00","0","0.00","0","0.00"
"31 Aug 2025","ost","1","20.25","0","0.00","0","0.00","0","0.00"
"30 Aug 2025","fxn","23","2868.79","0","0.00","0","0.00","0","0.00"
"30 Aug 2025","df5","5","621.64","0","0.00","0","0.00","0","0.00"
"30 Aug 2025","ost","5","384.31","0","0.00","0","0.00","0","0.00"
"30 Aug 2025","fuj","3","471.50","0","0.00","0","0.00","0","0.00"
"30 Aug 2025","cnl","2","91.63","0","0.00","0","0.00","0","0.00"
"30 Aug 2025","tnmw","1","47.94","0","0.00","0","0.00","0","0.00"
"30 Aug 2025","mm","1","45.22","0","0.00","0","0.00","0","0.00"
"29 Aug 2025","fxn","18","1752.56","0","0.00","0","0.00","0","0.00"
"29 Aug 2025","df5","4","328.27","0","0.00","0","0.00","0","0.00"
"29 Aug 2025","fuj","3","354.27","0","0.00","0","0.00","0","0.00"
"29 Aug 2025","cnl","2","98.95","0","0.00","0","0.00","0","0.00"
"29 Aug 2025","df2","2","264.24","0","0.00","0","0.00","0","0.00"
"29 Aug 2025","ost","2","275.30","0","0.00","0","0.00","0","0.00"
"29 Aug 2025","tnmw","1","11.51","0","0.00","0","0.00","0","0.00"
"29 Aug 2025","dd44","1","147.59","0","0.00","0","0.00","0","0.00"
