Action Date,Action Id,Brand,Event Type,Status,Sale Amount,Action Earnings,Promo Code,SharedId
2025-08-30 23:05:47,M.15608.6451.627072,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,85.23,15.3400,SAHS,
2025-08-30 23:04:09,M.15608.6451.625859,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,107.32,19.3200,SAHS15,
2025-08-30 21:55:31,M.15608.6451.537077,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,41.03,4.1000,SAHS,
2025-08-30 18:54:37,M.15608.6451.299783,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,15.78,2.8400,SAHS,
2025-08-30 18:12:30,M.15608.6451.241433,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,15.78,1.5800,SAHS,
2025-08-30 17:42:23,M.15608.6451.201078,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,31.57,5.6800,SAHS,
2025-08-30 16:14:03,M.15608.6451.106920,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,110.48,19.8900,SAHS,
2025-08-30 14:56:20,M.15608.6451.60561,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,119.95,21.5900,SAHS,
2025-08-30 14:37:07,M.15608.6451.57777,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,15.78,2.8400,SAHS,
2025-08-30 13:37:12,M.15608.6451.30686,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,110.48,11.0500,D26,
2025-08-30 13:34:23,M.15608.6451.29439,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,14.91,2.6800,SAHS15,
2025-08-30 12:59:45,M.15608.6451.19703,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,80.49,14.4900,SAHS,
2025-08-30 10:52:53,M.15608.6450.1359095,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,41.03,4.1000,SAHS,
2025-08-30 10:08:36,M.15608.6450.1326641,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,31.57,5.6800,SAHS,
2025-08-30 06:39:05,M.15608.6450.1167530,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,14.20,2.5600,SAHS,
2025-08-30 06:38:21,M.15608.6450.1163903,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,14.20,2.5600,SAHS,
2025-08-30 02:32:35,M.15608.6450.899821,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,28.41,5.1100,SAHS,
2025-08-30 01:25:43,M.15608.6450.823068,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,28.41,5.1100,SAHS,
2025-08-30 00:42:53,M.15608.6450.785404,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,14.20,2.5600,SAHS,
2025-08-29 22:27:22,M.15608.6450.593954,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,63.13,6.3100,SAHS,
2025-08-29 22:14:38,M.15608.6450.577015,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,66.29,6.6300,SAHS,
2025-08-29 22:10:27,M.15608.6450.574156,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,61.55,6.1600,SAHS,
2025-08-29 21:55:38,M.15608.6450.560609,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,28.41,5.1100,SAHS,
2025-08-29 20:39:51,M.15608.6450.444199,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,14.20,2.5600,SAHS,
2025-08-29 17:32:55,M.15608.6450.197738,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,14.20,2.5600,SAHS,
2025-08-29 17:26:03,M.15608.6450.192885,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,104.34,18.7800,SAHS15,
2025-08-29 17:00:20,M.15608.6450.175247,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,58.22,5.8200,SAHS,
2025-08-29 16:28:41,M.15608.6450.129970,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,15.78,2.8400,SAHS,
2025-08-29 15:32:50,M.15608.6450.89386,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,104.34,18.7800,SAHS15,
2025-08-29 15:22:07,M.15608.6450.84671,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,119.95,11.9900,SAHS,
2025-08-29 15:04:07,M.15608.6450.64487,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,23.67,4.2600,SAHS,
2025-08-29 14:52:44,M.15608.6450.60546,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,71.55,12.8800,SAHS15,
2025-08-29 14:45:38,M.15608.6450.59141,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,71.55,12.8800,SAHS15,
2025-08-29 13:43:55,M.15608.6450.32852,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,15.78,2.5300,D39,
2025-08-29 08:59:32,M.15608.6449.1241490,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,110.48,19.8900,SAHS,
2025-08-29 08:54:42,M.15608.6449.1241065,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,74.18,13.3500,SAHS,
2025-08-29 06:42:35,M.15608.6449.1141322,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,59.97,6.0000,SAHS,
2025-08-28 23:37:04,M.15608.6449.681113,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,25.33,2.5300,SAHS15,
2025-08-28 23:28:37,M.15608.6449.650455,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,14.21,2.5600,SAHS,
2025-08-28 23:18:17,M.15608.6449.643518,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,37.25,6.7100,SAHS15,
2025-08-28 22:43:23,M.15608.6449.610906,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,104.00,18.7200,SAHS,
